model,sea,metric,value,forecast_len,step
baseline_mean,Sea of Japan,iou,0.2510354816913605,32,1w
baseline_mean,Sea of Japan,bin_accuracy,0.9753540754318236,32,1w
baseline_repeat,Barents Sea,mae,0.1613715142011642,32,1w
baseline_repeat,Barents Sea,rmse,0.34190234541893,32,1w
baseline_repeat,Barents Sea,psnr,9.321958541870115,32,1w
baseline_repeat,Barents Sea,ssim,0.5968913435935974,32,1w
baseline_repeat,Barents Sea,iou,0.4000269472599029,32,1w
baseline_repeat,Barents Sea,bin_accuracy,0.8134722709655762,32,1w
baseline_repeat,Chukchi Sea,mae,0.3466096520423889,32,1w
baseline_repeat,Chukchi Sea,rmse,0.5377108454704285,32,1w
baseline_repeat,Chukchi Sea,psnr,5.389023780822754,32,1w
baseline_repeat,Chukchi Sea,ssim,0.3138458728790283,32,1w
baseline_repeat,Chukchi Sea,iou,0.4478608667850494,32,1w
baseline_repeat,Chukchi Sea,bin_accuracy,0.6779071688652039,32,1w
baseline_repeat,Kara Sea,mae,0.2093221247196197,32,1w
baseline_repeat,Kara Sea,rmse,0.399667352437973,32,1w
baseline_repeat,Kara Sea,psnr,7.966026782989502,32,1w
baseline_repeat,Kara Sea,ssim,0.556012749671936,32,1w
baseline_repeat,Kara Sea,iou,0.5103371739387512,32,1w
baseline_repeat,Kara Sea,bin_accuracy,0.7994791269302368,32,1w
baseline_repeat,Laptev Sea,mae,0.1497280150651931,32,1w
baseline_repeat,Laptev Sea,rmse,0.3476250171661377,32,1w
baseline_repeat,Laptev Sea,psnr,9.177779197692873,32,1w
baseline_repeat,Laptev Sea,ssim,0.7062179446220398,32,1w
baseline_repeat,Laptev Sea,iou,0.6122429370880127,32,1w
baseline_repeat,Laptev Sea,bin_accuracy,0.8779292106628418,32,1w
baseline_repeat,Sea of Japan,mae,0.0145378895103931,32,1w
baseline_repeat,Sea of Japan,rmse,0.0915960669517517,32,1w
baseline_repeat,Sea of Japan,psnr,20.76246452331543,32,1w
baseline_repeat,Sea of Japan,ssim,0.8809113502502441,32,1w
baseline_repeat,Sea of Japan,iou,0.1052423939108848,32,1w
baseline_repeat,Sea of Japan,bin_accuracy,0.9741171002388,32,1w
baseline_repeat,Barents Sea,mae,0.1462396085262298,12,1m
baseline_repeat,Barents Sea,rmse,0.3182434439659118,12,1m
baseline_repeat,Barents Sea,psnr,9.944809913635254,12,1m
baseline_repeat,Barents Sea,ssim,0.6129549741744995,12,1m
baseline_repeat,Barents Sea,iou,0.4565520584583282,12,1m
baseline_repeat,Barents Sea,bin_accuracy,0.8323178291320801,12,1m
baseline_repeat,Chukchi Sea,mae,0.2998673319816589,12,1m
baseline_repeat,Chukchi Sea,rmse,0.4968844354152679,12,1m
baseline_repeat,Chukchi Sea,psnr,6.074892044067383,12,1m
baseline_repeat,Chukchi Sea,ssim,0.3826450109481811,12,1m
baseline_repeat,Chukchi Sea,iou,0.5081495642662048,12,1m
baseline_repeat,Chukchi Sea,bin_accuracy,0.7210431098937988,12,1m
baseline_repeat,Kara Sea,mae,0.1819166243076324,12,1m
baseline_repeat,Kara Sea,rmse,0.3623699843883514,12,1m
baseline_repeat,Kara Sea,psnr,8.81695556640625,12,1m
baseline_repeat,Kara Sea,ssim,0.5890540480613708,12,1m
baseline_repeat,Kara Sea,iou,0.5795478820800781,12,1m
baseline_repeat,Kara Sea,bin_accuracy,0.8283083438873291,12,1m
baseline_repeat,Laptev Sea,mae,0.120707169175148,12,1m
baseline_repeat,Laptev Sea,rmse,0.3050132095813751,12,1m
baseline_repeat,Laptev Sea,psnr,10.313627243041992,12,1m
baseline_repeat,Laptev Sea,ssim,0.7499550580978394,12,1m
baseline_repeat,Laptev Sea,iou,0.7033711671829224,12,1m
baseline_repeat,Laptev Sea,bin_accuracy,0.9057306051254272,12,1m
baseline_repeat,Sea of Japan,mae,0.0160116087645292,12,1m
baseline_repeat,Sea of Japan,rmse,0.0956189930438995,12,1m
baseline_repeat,Sea of Japan,psnr,20.0345401763916,12,1m
baseline_repeat,Sea of Japan,ssim,0.8774825930595398,12,1m
baseline_repeat,Sea of Japan,iou,0.1234565526247024,12,1m
baseline_repeat,Sea of Japan,bin_accuracy,0.9720237851142884,12,1m
baseline_mean,Barents Sea,mae,0.1244106739759445,12,1m
baseline_mean,Barents Sea,rmse,0.2225165665149688,12,1m
baseline_mean,Barents Sea,psnr,13.052753448486328,12,1m
baseline_mean,Barents Sea,ssim,0.5447447299957275,12,1m
baseline_mean,Barents Sea,iou,0.5541498064994812,12,1m
baseline_mean,Barents Sea,bin_accuracy,0.8363208770751953,12,1m
baseline_mean,Chukchi Sea,mae,0.2669135928153991,12,1m
baseline_mean,Chukchi Sea,rmse,0.3486365377902984,12,1m
baseline_mean,Chukchi Sea,psnr,9.152541160583496,12,1m
baseline_mean,Chukchi Sea,ssim,0.414526492357254,12,1m
baseline_mean,Chukchi Sea,iou,0.6700685620307922,12,1m
baseline_mean,Chukchi Sea,bin_accuracy,0.7758158445358276,12,1m
baseline_mean,Kara Sea,mae,0.1558632254600525,12,1m
baseline_mean,Kara Sea,rmse,0.2573328018188476,12,1m
baseline_mean,Kara Sea,psnr,11.790098190307615,12,1m
baseline_mean,Kara Sea,ssim,0.6060751080513,12,1m
baseline_mean,Kara Sea,iou,0.6814166307449341,12,1m
baseline_mean,Kara Sea,bin_accuracy,0.8531712889671326,12,1m
baseline_mean,Laptev Sea,mae,0.1107854396104812,12,1m
baseline_mean,Laptev Sea,rmse,0.2218612432479858,12,1m
baseline_mean,Laptev Sea,psnr,13.078371047973633,12,1m
baseline_mean,Laptev Sea,ssim,0.7885993123054504,12,1m
baseline_mean,Laptev Sea,iou,0.8029459118843079,12,1m
baseline_mean,Laptev Sea,bin_accuracy,0.9321035742759703,12,1m
baseline_mean,Sea of Japan,mae,0.0133729446679353,12,1m
baseline_mean,Sea of Japan,rmse,0.0643704906105995,12,1m
baseline_mean,Sea of Japan,psnr,23.47168731689453,12,1m
baseline_mean,Sea of Japan,ssim,0.8466627597808838,12,1m
baseline_mean,Sea of Japan,iou,0.2633891403675079,12,1m
baseline_mean,Sea of Japan,bin_accuracy,0.9763928055763244,12,1m
baseline_mean,Barents Sea,mae,0.135349154472351,6,1m
baseline_mean,Barents Sea,rmse,0.2452735751867294,6,1m
baseline_mean,Barents Sea,psnr,12.206984519958496,6,1m
baseline_mean,Barents Sea,ssim,0.5397641658782959,6,1m
baseline_mean,Barents Sea,iou,0.5558596849441528,6,1m
baseline_mean,Barents Sea,bin_accuracy,0.835991382598877,6,1m
baseline_mean,Chukchi Sea,mae,0.2847922146320343,6,1m
baseline_mean,Chukchi Sea,rmse,0.3755598366260528,6,1m
baseline_mean,Chukchi Sea,psnr,8.506418228149414,6,1m
baseline_mean,Chukchi Sea,ssim,0.3817836046218872,6,1m
baseline_mean,Chukchi Sea,iou,0.6798356771469116,6,1m
baseline_mean,Chukchi Sea,bin_accuracy,0.7824530601501465,6,1m
baseline_mean,Kara Sea,mae,0.1696608662605285,6,1m
baseline_mean,Kara Sea,rmse,0.2807948291301727,6,1m
baseline_mean,Kara Sea,psnr,11.032217979431152,6,1m
baseline_mean,Kara Sea,ssim,0.5933207869529724,6,1m
baseline_mean,Kara Sea,iou,0.6824002861976624,6,1m
baseline_mean,Kara Sea,bin_accuracy,0.8531931638717651,6,1m
baseline_mean,Laptev Sea,mae,0.1197230294346809,6,1m
